
 OVO Algorithm for Measles

 Number of outliers:  1
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
    91             1        1.133285E-01      1.339254E-03       3
    92             1        1.133273E-01      1.319947E-03       3
    93             1        1.133262E-01      1.301198E-03       3
    94             1        1.133251E-01      1.282985E-03       3
    95             1        1.133240E-01      1.265283E-03       3
    96             1        1.133229E-01      1.248073E-03       3
    97             1        1.133219E-01      1.231333E-03       3
    98             1        1.133209E-01      1.215044E-03       3
    99             1        1.133199E-01      1.199189E-03       3
   100             1        1.133190E-01      1.183750E-03       3
   101             1        1.133180E-01      1.168710E-03       3
   102             1        1.133171E-01      1.154055E-03       3
   103             1        1.133162E-01      1.139770E-03       3
   104             1        1.133153E-01      1.125840E-03       3
   105             1        1.133145E-01      1.112253E-03       3
   106             1        1.133137E-01      1.098995E-03       3
   107             1        1.133128E-01      1.086056E-03       3
   108             1        1.133120E-01      1.073424E-03       3
   109             1        1.133113E-01      1.061087E-03       3
   110             1        1.133105E-01      1.049036E-03       3
   111             1        1.133098E-01      1.037260E-03       3
   112             1        1.133090E-01      1.025751E-03       3
   113             1        1.133083E-01      1.014499E-03       3
   114             1        1.133076E-01      1.003495E-03       3
   115             1        1.133069E-01      9.927320E-04       3
 -------------------------------------------------------------------

 Number of outliers:  4
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        1.132877E-01            -            3
     1             1        1.132871E-01      9.822014E-04       3
 -------------------------------------------------------------------

 OVO Algorithm for Mumps

 Number of outliers:  1
 -------------------------------------------------------------------
 Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta
 -------------------------------------------------------------------
     0             -        4.999663E-01            -            4
     1             1        4.999481E-01      3.174588E-03       4
     2             1        4.999053E-01      4.732289E-03       4
     3             1        4.997587E-01      8.206101E-03       3
     4             1        4.985987E-01      1.907831E-02       2
     5             1        3.152727E-01      1.123095E-01       1
     6             8        2.581080E-01      4.262005E+00       1
     7            11        2.064283E-01      9.848084E+00       1
     8            16        2.055434E-01      7.037377E+00       1
     9            13        2.037267E-01      8.279864E+00       1
    10            16        2.035070E-01      4.900450E+00       1
    11            18        2.032693E-01      8.662958E+00       1
    12            18        2.032088E-01      4.890878E+00       1
    13            20        2.031555E-01      8.667710E+00       1
    14             2        1.709128E-01      1.335562E-01       2
    15            11        1.426992E-01      9.596152E+00       1
    16            14        1.422012E-01      8.188791E+00       1
    17            13        1.399396E-01      3.053654E+00       1
    18            16        1.398061E-01      3.013639E+00       1
    19            19        1.397353E-01      8.201073E+00       1
    20            18        1.396949E-01      3.010027E+00       1
    21             3        1.307095E-01      2.412032E-01       2
    22            12        1.231467E-01      6.963124E+00       1
    23            15        1.228955E-01      3.076780E+00       1
    24            13        1.190233E-01      7.451888E+00       1
    25            14        1.162415E-01      6.371114E+00       1
    26            16        1.156437E-01      7.910996E+00       1
    27            17        1.150757E-01      6.199446E+00       1
    28             1        1.132508E-01      6.595524E-03       2
    29            18        1.131871E-01      6.080086E+00       1
    30            19        1.131406E-01      7.437476E+00       2
    31            20        1.130703E-01      6.074492E+00       1
    32             1        1.130610E-01      3.967901E-03       3
    33             2        1.130583E-01      4.106223E-03       2
    34             2        1.130558E-01      3.943862E-03       2
    35            20        1.130424E-01      6.040003E+00       1
    36             1        1.129996E-01      3.406835E-03       3
    37             1        1.129797E-01      2.595587E-03       4
    38             1        1.129617E-01      2.472572E-03       5
    39             1        1.129455E-01      2.360665E-03       4
    40             1        1.129308E-01      2.258427E-03       4
    41             1        1.129174E-01      2.164659E-03       4
